regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,102,Param,8,0.0,0.06,0.0,0.20000000000000018,1.2619580861006052,0.6019580861006051,2.2,0.09844702228866042,0.48664729594072054,0.06,1.0,0.01123046875,24,2048,102,112,7.888661673059687
stationary,102,State,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15844702228866042,0.003690981823644873,0.0,1.0,0.984375,24,2048,102,113,11.014471448026597
stationary,102,Combined,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15844702228866042,0.002346148070211611,0.0,1.0,0.9912109375,24,2048,102,113,7.501176944002509
stationary,102,Cold,9,0.0,0.18,0.0,0.6000000000000001,1.1729234453570425,0.5729234453570425,2.0,0.0,0.4666649702308848,0.18,1.0,0.00048828125,24,2048,102,113,9.283422369975597
stationary,102,Param,9,0.0,0.18,0.0,0.6000000000000001,1.4419580861006052,0.6019580861006051,2.8000000000000003,0.0,0.2875733050494674,0.18,1.0,0.0009765625,24,2048,102,113,7.534265782916918
stationary,102,State,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0027813852411789747,0.0,1.0,0.9912109375,24,2048,102,113,19.42881681304425
stationary,102,Combined,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0029818378657580054,0.0,1.0,0.98974609375,24,2048,102,113,7.081136095104739
stationary,102,Cold,10,0.0,0.0,0.0,0.0,1.1729234453570425,0.5729234453570425,2.0,0.0,0.501961833893946,0.0,1.0,0.0068359375,24,2048,102,113,8.228490844136104
stationary,102,Param,10,0.0,0.0,0.0,0.0,1.4419580861006052,0.6019580861006051,2.8000000000000003,0.0,0.5257642967074043,0.0,1.0,0.001953125,24,2048,102,113,8.893423191038892
stationary,102,State,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010118475838213759,0.0,1.0,0.9638671875,24,2048,102,113,30.98478148598224
stationary,102,Combined,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003177901764267419,0.0,1.0,0.98876953125,24,2048,102,113,6.877107538050041
stationary,102,Cold,11,0.0,0.0,0.0,0.0,1.1729234453570425,0.5729234453570425,2.0,0.0,0.5057770332541063,0.0,1.0,0.005859375,24,2048,102,112,9.271001427201554
stationary,102,Param,11,0.0,0.0,0.0,0.0,1.4419580861006052,0.6019580861006051,2.8000000000000003,0.0,0.5339314045050316,0.0,1.0,0.001953125,24,2048,102,112,7.958401514915749
stationary,102,State,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008449009385481122,0.0,1.0,0.99755859375,24,2048,102,113,19.968006821116433
stationary,102,Combined,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005182700943374505,0.0,1.0,0.9833984375,24,2048,102,113,8.588199036894366
gradual,201,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15998747299264374,0.0,1.0,0.00341796875,24,2048,102,112,40.49638649611734
gradual,201,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15998747299264374,0.0,1.0,0.00341796875,24,2048,102,112,40.49638649611734
gradual,201,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15998747299264374,0.0,1.0,0.00341796875,24,2048,102,112,40.49638649611734
gradual,201,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15998747299264374,0.0,1.0,0.00341796875,24,2048,102,112,40.49638649611734
gradual,201,Cold,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.523135814682581,0.0,1.0,0.00341796875,24,2048,102,113,38.19257078994997
gradual,201,Param,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5276685680956902,0.0,1.0,0.0029296875,24,2048,102,113,18.95373050798662
gradual,201,State,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00244673962760045,0.0,1.0,0.99267578125,24,2048,102,112,12.453379379119724
gradual,201,Combined,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01773115943285168,0.0,1.0,0.94970703125,24,2048,102,112,7.828333565965295
gradual,201,Cold,2,0.05497629363283278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.538356984611114,0.0,1.0,0.00244140625,24,2048,102,113,32.14737575687468
gradual,201,Param,2,0.05497629363283278,0.252970903419943,0.132970903419943,0.4,0.252970903419943,0.132970903419943,0.4,-0.252970903419943,0.513197642597259,0.252970903419943,1.0,0.0009765625,24,2048,102,113,14.119620291050524
gradual,201,State,2,0.05497629363283278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009387636078553521,0.0,1.0,0.96728515625,24,2048,102,112,20.005952693987638
gradual,201,Combined,2,0.05497629363283278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005101352329589214,0.0,1.0,0.9853515625,24,2048,102,112,7.124415449099615
gradual,201,Cold,3,0.08371174074969893,0.18,0.0,0.6,0.18,0.0,0.6,0.0,0.47348705095889515,0.18,1.0,0.0029296875,24,2048,108,113,17.79415707103908
gradual,201,Param,3,0.08371174074969893,0.18,0.0,0.6,0.432970903419943,0.132970903419943,1.0,0.0,0.39980181659776404,0.18,1.0,0.09423828125,24,2048,108,113,17.520110949175432
