regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold
gradual,204,Param,3,0.0448791500690961,0.11526106957559393,0.11526106957559396,0.0,0.3754284004898272,0.31542840048982723,0.2,0.06473893042440607
gradual,204,State,3,0.0448791500690961,0.11526106957559393,0.11526106957559396,0.0,0.3754284004898272,0.31542840048982723,0.2,0.06473893042440607
gradual,204,Combined,3,0.0448791500690961,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,204,Cold,4,0.03511265319677388,0.18,0.0,0.6000000000000001,0.72,0.0,2.4,0.0
gradual,204,Param,4,0.03511265319677388,0.10812627069923772,0.10812627069923775,0.0,0.4835546711890649,0.423554671189065,0.2,0.07187372930076227
gradual,204,State,4,0.03511265319677388,0.10812627069923772,0.10812627069923775,0.0,0.4835546711890649,0.423554671189065,0.2,0.07187372930076227
gradual,204,Combined,4,0.03511265319677388,0.0,0.0,0.0,0.0,0.0,0.0,0.18
gradual,204,Cold,5,0.06768430332036114,0.17740919166833555,0.11740919166833555,0.20000000000000018,0.8974091916683355,0.11740919166833555,2.6,0.0
gradual,204,Param,5,0.06768430332036114,0.10094573662238979,0.10094573662238981,0.0,0.5845004078114547,0.5245004078114548,0.2,0.07646345504594576
gradual,204,State,5,0.06768430332036114,0.10094573662238979,0.10094573662238981,0.0,0.5845004078114547,0.5245004078114548,0.2,0.07646345504594576
gradual,204,Combined,5,0.06768430332036114,0.0,0.0,0.0,0.0,0.0,0.0,0.17740919166833555
gradual,204,Cold,6,0.06545602645290825,0.14061366624002042,0.08061366624002039,0.20000000000000018,1.038022857908356,0.19802285790835594,2.8000000000000003,0.0
gradual,204,Param,6,0.06545602645290825,0.10235732806023277,0.10235732806023279,0.0,0.6868577358716875,0.6268577358716876,0.2,0.038256338179787644
gradual,204,State,6,0.06545602645290825,0.10235732806023277,0.10235732806023279,0.0,0.6868577358716875,0.6268577358716876,0.2,0.038256338179787644
gradual,204,Combined,6,0.06545602645290825,0.0,0.0,0.0,0.0,0.0,0.0,0.14061366624002042
